音标,word,meaning,pos,例句,
/tækˈsɒnəmi/,taxonomy,分类学,n.,"Classification of organisms into groups based on their evolutionary relationships is an essential part of taxonomy.
分类学（taxonomy）涉及根据物种的进化关系将生物分组。
Note: 
- In Chinese, """" (zhì fēn liè xiè) is also used as a translation of the word, however, """" (fén lèi huà xué) is more commonly used in academic and scientific contexts.","classify into groups[TAB]分类
based on[TAB]基于
evolutionary relationships[TAB]进化关系
be an essential part of[TAB]是重要部分"
,acupuncture,针灸,n.,"Acupuncture involves the use of small needles to stimulate healing in the body.
中医针灸通过插入小针来刺激人体的治疗。","involve the use of 使用
stimulate healing 刺激愈合
in the body 在体内"
,mythological,神话的,adj.,"The city's name was inspired by a mythological character from ancient Greek mythology.
 城市名称受到古希腊神话中的一个人物的启发。",be inspired by 受到……的启发
/θɪˈsɔːrəs/,thesaurus,同义词词典,n.,"The writer used a thesaurus to avoid repetitive language in her article.
词典工具帮助她避免了重复的用词。","use a thesaurus 使用同义词词典
avoid repetitive language 避免重复的语言
in one's article 在某人的文章中"
/ˈsɪnənɪm/,synonym,同义词,n.,"The author used several synonyms for the word ""love"" in the novel.
情节中，作家使用了多个与""love""相等的词汇。",use synonyms for 使用……的同义词
,fracture,骨折,n.,"He suffered a fracture in his leg while skiing.
他在滑雪时遭遇了腿骨 fracture","suffer a fracture 遭受骨折
in his leg 在他的腿上"
/ˌvetərɪˈneəriən/,veterinarian,兽医,n.,"The veterinarian will examine the dog's wounds before giving any medication.
 thú yè shī huān jiě chǎ suì yè de rǒng kuī chuō huǐ xiǎng jǔ zhèng bìng jiāo zhòng.","examine wounds 检查伤口
give medication 给药
before giving medication 在给药之前"
,miner,矿工,n.,"The miners worked underground to extract coal.
 miner  (dà kuàng rén)
(Note: 'dà kuàng rén' is a more direct translation for the general term 'miner', it might be worth considering 'xiàn dà' when the context is more specific, e.g. coal miners. However since the context is somewhat vague here I have chosen the general term.)","work underground 在地下工作
extract coal 开采煤炭"
,waitress,女服务员,n.,"She studied to be a waitress at a restaurant downtown.
她在市中心的一家餐厅学习成为服务员。","study to be 学习成为
at a restaurant 在餐厅
downtown 在市中心"
,spectator,观众,n.,"The crowd acted as a enthusiastic spectator, cheering for the local team.
体育场内的人群成为一群热情的观众，欢呼支持当地球队。","act as 充当
cheer for 为……欢呼"
,punctuation,标点符号,n.,"English sentence: 
Punctuation is the use of marks to separate words and phrases in writing or typing.
Simplified Chinese translation: 
标点是用符号来在书写或打字中分隔单词和短语的方式。","use of 使用
separate words and phrases 分隔单词和短语
in writing or typing 在书写或打字中"
/ˌmiːtiəˈrɒlədʒi/,meteorology,气象学,n.,"The study of meteorology helps predict extreme weather conditions.
气象学的研究有助于预测极端天气。",help predict 有助于预测
,freezer,冰柜,n.,"The food is stored in the freezer to keep it fresh.
食品stored在冰箱中可以保持其新鲜状态。","store in the freezer 存储在冰箱里
keep fresh 保持新鲜"
/ˌæntibaɪˈɒtɪks/,antibiotics,抗生素,n.,"The doctor prescribed antibiotics to treat the patient's bacterial infection.
医生开了抗生素来治療患者的细菌感染。","prescribe antibiotics 开抗生素处方
treat infection 治疗感染"
,alcoholic,酒精的,adj.,"She has struggled with her alcoholism for years.
她苦苦地与酒精中毒作斗争了多年。",struggle with 与……斗争，努力应对
/ɡrəˈfiːti/,graffiti,涂鸦,n.,"Street art that uses graffiti often conveys powerful social messages.
中国街头艺术常使用涂鸦传达强烈的社会信息。","use graffiti[TAB]使用涂鸦
convey messages[TAB]传达信息"
,umbrella,雨伞,n.,"The tourists got wet in the rain because they didn't have an umbrella.
雨中行人没有带伞被淋湿了。","get wet in the rain 在雨中被淋湿
have an umbrella 带伞"
/ˈhæzədəs/,hazardous,危险的,adj.,"The new highway construction will pose a hazardous risk to the nearby wildlife.
道路新建的高速公路可能会对附近的野生动物构成危险。",pose a risk to 对……构成风险
,successor,继任者,n.,"The new company's CEO will be the successor to the retiring founder.
她的接班人将是退休创始人。 
(Note: '接班人' is translated as successor or heir in this context, '接班人' literally means 'successor' or 'success heir' of the predecessor or former boss)",be the successor to 成为某人的接班人
,carpenter,木匠,n.,"He works as a carpenter for the construction company.
他是木匠，负责在建筑公司工作。","work as[TAB]以...身份工作
work for[TAB]为...工作"
,laundry,洗衣店,n.,"She spent most of her afternoon doing laundry.
她花了大部分时间干洗衣。",spend time doing 花时间做某事
,transcript,成绩单,n.,"The teacher asked the student to provide a transcript of the class discussion.
学生要求提供一份课堂讨论的记录。","ask sb to do sth 要求某人做某事
provide a transcript of 提供……的记录
class discussion 课堂讨论"
,candle,蜡烛,n.,"The candle flickered in the evening breeze.
蜡烛在晚风中缓慢摇动。","flicker in the evening breeze 在晚风中摇动
take into account 考虑"
,friction,摩擦,n.,"The rough texture of the rock caused significant friction that made it difficult to climb.
摩擦力过大的岩石表面使得攀爬变得非常困难。","cause significant friction 造成显著摩擦
make it difficult to do something 使做某事变得困难
texture of something 某物的质地"
,anchor,锚,n.,"The sailor finally dropped the anchor and took a well-deserved rest.
锚终于被下了，水手可享受了一个值得的休息。","drop the anchor 抛锚
take a well-deserved rest 享受应得的休息"
,alphabet,字母表,n.,"English sentence:
She was trying to teach her child the alphabet at a young age.
Simplified Chinese translation:
她试着很早就教她小孩学字母。","try to teach 试图教
teach someone something 教某人某事
at a young age 在幼年时"
,crawl,爬行,v.,"She is trying to crawl out from the pit.
她试图从坑里爬出来。","try to 试图
crawl out from 从……爬出来"
,applause,掌声,n.,"The audience gave a standing ovation, erupting in thunderous applause.
掌声响起，观众站起来鼓掌。","give a standing ovation 起立鼓掌
erupt in thunderous applause 爆发出雷鸣般的掌声"
,synthetic,合成的,adj.,"The synthetic fibers were woven into a strong and durable fabric.
 人工纤维被编织成强度和耐久的织物。",be woven into 被编织成
,fade,褪色,v.,"The sunset began to fade, leaving a warm orange glow on the horizon.
落日逐渐 fade，留下了沿岸的温暖橙色光芒。","begin to fade 开始消退
leave a warm orange glow 留下温暖的橙色光芒
on the horizon 在地平线上"
,calculator,计算器,n.,"The teacher handed out a new calculator to each student before the math test.
计算器
( Suàn jì )",hand out 分发
,exhaust,排气,n.,"Car exhaust emits pollutants into the air.
发动机废气排放出空气中的污染物。",emit pollutants into 排放污染物到
,northeast,东北,n.,"The northeast region of the country is known for its harsh winters.
东北部地区为全国家寒。","be known for 以……闻名
harsh winters 严寒的冬天"
/kɔːd/,chord,和弦,n.,"The chorus sang in perfect harmony with a rich chord.
和声合唱团唱出绝对完美的三和弦。
Note: 
- In the translation, '三和弦' translates to 'a rich chord' in this context, which may slightly change the connotation. It could be replaced by '有力和弦' to keep a more direct translation if necessary.
- The word order in Chinese translation may slightly vary depending on the context and sentence structure, but the translation remains natural.",sing in harmony 和谐地唱
/ˈvenəm/,venom,毒液,n.,"The snake's venom can be fatal if not treated promptly.
蛇的毒液如果不及时治疗就会致命。","be fatal[TAB]致命的
treat promptly[TAB]及时治疗"
,basement,地下室,n.,"The family likes to hang out in the basement on weekends.
家族很喜欢周末在地下室休闲散步。","hang out 闲逛，休闲
in the basement 在地下室
on weekends 在周末"
/ˈsiːlɪŋ/,ceiling,天花板,n.,"English sentence: 
The high ceiling makes the room feel more spacious.
Simplified Chinese translation 
高的天花板使房间觉得更宽敞。",make something feel 使……感觉
/ˈtestəmənt/,testament,遗嘱,n.,"The lawyer used a confidential document as a testament to prove the family's innocence.
法律律师使用了一份机密文件作证据为家人洗清了污名。","use something as something[TAB]使用某物作为某物
prove someone's innocence[TAB]证明某人的清白"
,closet,壁橱,n.,"She spent hours organizing her closet before the party.
她为参加派对而精心摆设过衣柜。","spend hours organizing 花费数小时整理
organize her closet 整理她的衣柜
before the party 在派对之前"
,glue,胶水,n.,"The children used glue to stick their papers together.
黏合剂上他们的纸片。",stick together 粘在一起
,triangle,三角形,n.,"The triangle is a three-sided polygon.
三角形是一种三角形的多边形。",be a three-sided polygon 是三边多边形
,extrovert,外向的人,n.,"He is a natural extrovert and always likes to be the center of attention.
他非常外向，总是喜欢在聚会中吸引眼球。","be the center of attention 成为注意力的中心
like to be 喜欢成为"
/ˈɡɒɡ(ə)l/,goggle,护目镜,n.,"She put on her goggles before jumping into the pool.
她戴上眼镜后跳进了游泳池。","put on 穿上；戴上
jump into 跳入"
,linguist,语言学家,n.,"Her brother is actually a linguist who specializes in ancient languages.
她的兄弟实际上是一名专门研究古代语言的词林学家。",specialize in 专门研究
/ˈtɜːʃəri/,tertiary,第三的,adj.,"The forest ecosystem was studied with a focus on the tertiary consumers.
森林生态系统研究主要关注次级消费者的生态行为。","study with a focus on 以……为重点研究
focus on 集中于"
/θəˈmɒmɪtə(r)/,thermometer,温度计,n.,"The temperature in the room is dropping, so I'm going to get my thermometer to check the current temperature.
室内温度在下降，我将拿出温度计来检查当前温度。","be going to  将要
check temperature  检查温度
drop  （温度）下降"
,typewriter,打字机,n.,"The old typewriter was left untouched on the dusty shelf for decades.
老式打字机在灰尘充斥的书架上静静地躺了几十年。","leave something untouched 使某物保持原样
on the shelf 在架子上
for decades 数十年来"
,microscope,显微镜,n.,"The scientist used a microscope to examine the tiny organisms under the glass slide.
科学家使用光学显微镜来检查玻璃滑片上的微生物。","use a microscope 使用显微镜
under the glass slide 在玻璃滑片下"
,flap,拍打,v.,"The bird tried to fly but its wings flapped wildly.
鸟试图飞行，但它的翅膀张扬地扇动。",try to fly 试图飞行
,dentist,牙医,n.,"Visiting the dentist regularly can help prevent oral diseases.
regular dentist check-ups 有助于预防口腔疾病","visit the dentist 看牙医
help prevent 帮助预防"
"英/ˈævəlɑːnʃ/
美/ˈævəlæntʃ/",avalanche,雪崩,n.,"The heavy snow fell all night and triggered a massive avalanche in the mountains.
山顶因大面积积雪导致巨大雪崩。","fall all night 下了一整夜
trigger a massive avalanche 引发大规模雪崩
in the mountains 在山中"
,abbreviation,缩写,n.,"Many organizations and companies use abbreviation in their communication to save time and space.
简化中文：
许多组织和公司在交流中使用缩写以节省时间和空间。","use abbreviation 使用缩写
in communication 在交流中
save time and space 节省时间和空间"
,literate,有读写能力的,adj.,"She had a deep understanding of literature and was well-educated, being quite literate.
她对文学很有认识和教育背景，是一个很有知识的人。","have a deep understanding of 对……有深刻理解
be well-educated 受过良好教育
be literate 有学问的"
,bachelor,学士,n.,"He graduated from college with a bachelor's degree.
他获得了一个本科生学位。","graduate from 从……毕业
with a bachelor's degree 拥有学士学位"
,magnet,磁铁,n.,"The magnet sticks to the refrigerator.
磁铁黏在冰箱上。",stick to 粘在
,submarine,潜艇,n.,"The submarine was able to dive to great depths without being detected.
 submarine 深潜潜水艇被发现","be able to 能够
dive to 潜水到
to great depths 到很大的深度
be detected 被发现"
,enthusiastic,热情的,adj.,"She is an enthusiastic supporter of the local charity, often helping with their fundraising events.
她是一个热心的慈善捐助者，经常帮助当地的募捐活动。","help with 帮助（做某事）
supporter of ……的支持者
fundraising event 筹款活动"
,spoon,勺子,n.,"She put the sweet rice porridge into her spoon.
他将甜味的稠粥舀入勺子里。",put ... into ... 放入
,geology,地质学,n.,"The study of Earth's physical structure and composition is called geology.
地质学是研究地球物理结构和组成的科学。",be called 被称为
/kəˈnæl/,canal,运河,n.,"The boat sailed through the calm waters of the canal.
河道上的小船慢慢地漂流着。",sail through 航行穿过
,spacecraft,宇宙飞船,n.,"The spacecraft will launch into orbit in a few hours for a series of critical experiments.
 spacecraft 将在几个小时内发射到轨道上进行一系列关键实验。","launch into orbit 发射到轨道
in a few hours 在几个小时内
for a series of 一系列"
/əˈkweəriəm/,aquarium,水族馆,n.,"The city's new aquarium has brought in thousands of visitors since its opening.
市的新水族馆自开业以来便吸引了十几万名游客。",bring in 吸引
,biography,传记,n.,"A detailed biography of his life was published after his passing.
他一生中的详细人物传记在他去世后出版。","be published 被出版
after his passing 在他去世后"
,weed,杂草,n.,"The lawn has a lot of weeds.
草地上长满了杂草。",have a lot of 有许多
,sunset,日落,n.,"As I watched the sunset, I felt the day come to a peaceful end.
日落下时，我感到整个天空都沉默了。","watch the sunset 看日落
come to an end 结束"
,mentor,导师,n.,"The successful entrepreneur credits her business partner as a mentor who taught her the importance of perseverance.
她的商业伙伴是成功企业家的导师，曾教会她坚持不懈的重要性。","credit someone as    将某人视为
teach someone the importance of    教某人……的重要性
the importance of    ……的重要性"
,hybrid,混合的,adj.,"The new hybrid car combines the best features of a gasoline engine and an electric motor.
新型混合动力的汽车将汽油发动机和电动机的 beste特点结合在一起。","combine with 与……结合
the best features of ……的最佳特点"
,warehouse,仓库,n.,"The large warehouse can store hundreds of containers.
仓库大了可以存放上百个集装箱。",hundreds of 数以百计的
/ˈʒɒnrə/,genre,类型,n.,"The movie ""Inception"" is a great example of the action-thriller genre.
动作惊悚片是《梦幻入侵》的一种典型的电影类型。",be a great example of 是……的一个很好的例子
,ink,墨水,n.,"The artist used special ink to create her beautiful painting.
 худож家使用特定的墨水来打造她美丽的画作。","use special ink 使用特殊墨水
create a painting 创作画作"
,astronomy,天文学,n.,"Astronomers use powerful telescopes to study the stars in the night sky.
天文学家使用强大的望远镜研究夜空中的星星。","use telescopes to study 使用望远镜研究
in the night sky 在夜空中"
/ˈpɒləneɪt/,pollinate,授粉,v.,"Bees play a crucial role in pollination.
植物在昆虫的帮助下进行了授粉。",play a crucial role in 在……中起关键作用
,pollination,授粉,n.,"Insects are crucial to the process of pollination for many plant species.
昆虫对很多植物的授粉过程至关重要。",be crucial to 对……至关重要
,novelist,小说家,n.,"The award-winning novelist was known for her thought-provoking and imaginative stories.
这位获得奖项的小說家以她的思辨性和富有想象力的故事情节闻名。","be known for 以……闻名
award-winning 获奖的
thought-provoking 思辨性的"
/ˈsɪblɪŋ/,sibling,兄弟姐妹,n.,"She and her younger sibling are very close.
她和她的小 姐弟关系非常亲密。",be close 关系亲密
